見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
農地を借りたい農業者、貸したい方へ,募集区域：県内市町(太地町、北山村を除く),,,,,,,,［借りたい農業者］=郵送、ファックス、Eメール、持参で所定の申込書（JA、市町、WEBサイトで配布）を県農業公社 〒640-8263和歌山市茶屋ノ丁2-1電話073-432-6115　ファックス073-422-4031※JA、市町、振興局への持参も可 ［貸したい方］=最寄りのJAへ相談,県庁経営支援課,,,,,http://www.w-apc.or.jp/,,wanouko@alpha.ocn.ne.jp,
最新の医療カンファランス,テーマ：(1)脊柱変形に対する最新の低侵襲手術～曲がった腰をまっすぐ伸ばすには？～ (2)医大でしかできない精神科の治療,,,12月14日 (木) 14:00?16:00,県立医大図書館棟（和歌山市）,,100人（先着順）,,,県立医大生涯研修センター　 電話073-441-0789,,,,,http://www.wakayama-med.ac.jp/,,,
発達障害に関する講演会,講師：十一元三氏(京都大学医学部人間健康科学科教授) ,,,12月23日（祝）12:30?16:00 ,情報交流センターBig・U(田辺市),,450人 （先着順）,,,ファックス、Eメールで所定の申込書(申込先で配布)を県発達障害者支援センターポラリス電話073-413-3200　ファックス073-413-3020Eメール　polaris@jtw.zaq.ne.jp県ウェブサイトでも掲載,,,,,http://aitoku.or.jp/wordpress/polaris/,,polaris@jtw.zaq.ne.jp,
「和歌山で就職しよう！」セミナー,県内での就職活動や保護者が気をつけるポイントをアドバイス,,,12月24日（日）13:30?15:30,プラザホープ(和歌山市),県内就職希望の大学生、保護者,200人（先着順）,,電話、ファックス、Eメールで住所、氏名、電話番号をジョブカフェわかやま電話073-402-5757　ファックス073-424-5670Eメール　jobwaka@npo-cfa.com,,,,,,http://www.jobcafe-w.com/,,jobwaka@npo-cfa.com,
保育士確保のための貸付事業,,(1)保育補助者雇上費(2)未就学児をもつ保育士に対する保育料の一部(3)就職準備金(4)未就学児をもつ保育士の子供の預かり支援事業利用料の一部※貸付内容により貸付限度額・定員・申込方法などが異なります。,,,,,,,,県社会福祉協議会 電話073-435-5223,,,,,,,,
自死遺族支援関連研修,,(1)12:30?13:50 講演会「人生マンダラ －多様な価値観－」講師：森田良恒氏(高野山真言宗不動寺住職) (2)14:00?14:30 オーボエコンサート(3)自死遺族わかちあいの会,,12月16日(土),和歌山ビッグ愛(和歌山市),(3)は大切な人を自死で亡くした方,20人（先着順）,,電話、ファックスで氏名、電話番号を12月15日までに県精神保健福祉センター電話073-435-5194　ファックス073-435-5193,,,,,,http://www.pref.wakayama.lg.jp/prefg/040400/050301/index1.html,,,
歯科衛生士復職支援講習会,,,,1月14・21・28日 全3日間いずれも日曜10:00?16:00 ※1/14は9:30から,県歯科医師会館（和歌山市）,歯科衛生士の免許保持者で現在就業していない方,30人（先着順）,,,,ファックス、インターネットで所定の申込書（申込先、WEBサイトで配布）を県歯科医師会　 電話073-428-3411　ファックス073-431-2660,,,,http://www.wda8020.org/,,,
BCP（事業継続計画）ワークショップ,,災害時の備えとして簡易版BCPを策定,,(1)1月18日（木）2)1月24日（水）いずれも13:00?17:15,(1)東京海上日動火災保険（株）和歌山支店（和歌山市）(2)東京海上日動火災保険（株）田辺支社（田辺市） ,県内の中小企業者など,各20人（先着順）,,ファックスで所定の申込書（申込先で配布）を12月22日までに東京海上日動火災保険（株）和歌山支店 電話073-431-1109　ファックス073-431-1371,申込先、県庁商工振興課,,,,,http://www.pref.wakayama.lg.jp/prefg/060300/index.html,,,
潜在介護職員再就職支援研修会,,,,1月21日(日)10:00?16:30,和歌山ビッグ愛(和歌山市),介護関係の有資格者や福祉職場に就職を希望する方など,20人（先着順）,,,,郵送、電話、ファックス、Eメールで所定の申込書(申込先、WEBサイトで配布)を1月17日までに県福祉人材センターハートワーク〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階 電話073-435-5211　ファックス073-435-5209Eメール　jinzai@wakayamakenshakyo.or.jp,,,,http://www.wakayamakenshakyo.or.jp/,,mailto:jinzai@wakayamakenshakyo.or.jp,
潜在保育士再就職支援実習研修会,,,,(1)1月22日（月）(2)23日（火）(3)24日（水）(4)2月5日（月） いずれも10:00?14:00,(1)しらゆり保育園(岩出市) (2)こどものへや保育園(田辺市) (3)紀伊保育園(和歌山市) (4)木ノ本こども園(和歌山市),,各5人（先着順）,,,,電話、ファックスで所定の申込書(申込先、WEBサイトで配布)を1月15日までに(1)(3)(4)県福祉人材センターハートワーク電話073-435-5211　ファックス073-435-5209 (2)紀南福祉人材バンク電話0739-26-4918　ファックス0739-26-2928,,,,http://www.wakayamakenshakyo.or.jp/,,,
